薬局等番号,都道府県,市区町村_推定,薬局等名称,住所_正規化,住所,住所_都道府県除く,住所_残り,電話番号_数字,電話番号,HP,開局等時間,時間外対応,時間外対応_有無,時間外の電話番号_数字,時間外の電話番号,プライバシー確保策,事前電話連絡,事前電話連絡_要否,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,備考,削除日,データ時点,データ出典_URL,データファイル_URL,検索用
3083,岡山県,真庭市,安部薬局,岡山県真庭市目木1881,岡山県真庭市目木１８８１,真庭市目木1881,目木1881,0867427217,0867427217,,月火水金:9:00-18:30､木土:9:00-17:00,有,True,0867427217,0867427217,個室；衝立；他者のいない時間対応,要,True,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,岡山県 真庭市 安部薬局 岡山県真庭市目木1881 0867427217
3084,静岡県,浜松市中央区,薬局フォーリア和合店,静岡県浜松市中央区和合北1-1-32,静岡県浜松市中央区和合北１－１－３２,浜松市中央区和合北1-1-32,和合北1-1-32,0534126886,0534126886,https://www.folia.jp/stores/stores-208/,月･火･木･金:9:00-18:30､水:9:00-18:00､土:9:00-13:00,有,True,09034487526,09034487526,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 浜松市中央区 薬局フォーリア和合店 静岡県浜松市中央区和合北1-1-32 0534126886 https://www.folia.jp/stores/stores-208/
3085,福島県,いわき市,ウエルシア薬局いわき錦店,福島県いわき市錦町花ノ井30-1,福島県いわき市錦町花ノ井３０ー１,いわき市錦町花ノ井30-1,錦町花ノ井30-1,0246770672,0246770672,https://www.welcia-yakkyoku.co.jp/,月-金9:30-18:30土9:30-17:00,,False,,,衝立,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 いわき市 ウエルシア薬局いわき錦店 福島県いわき市錦町花ノ井30-1 0246770672 https://www.welcia-yakkyoku.co.jp/
3086,長野県,長野市,ウエルシア薬局長野川中島店,長野県長野市稲里町中氷鉋963-1,長野県長野市稲里町中氷鉋９６３ー１,長野市稲里町中氷鉋963-1,稲里町中氷鉋963-1,0262910683,0262910683,https://www.welcia-yakkyoku.co.jp/,"月-金:09:00-14:00,15:00-19:00､土:09:00-14:00,15:00-18:00",,False,,,衝立,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,長野県 長野市 ウエルシア薬局長野川中島店 長野県長野市稲里町中氷鉋963-1 0262910683 https://www.welcia-yakkyoku.co.jp/
3087,長野県,東御市,城の前くるみ薬局,長野県東御市田中705-1,長野県東御市田中７０５－１,東御市田中705-1,田中705-1,0268646455,0268646455,https://kurumi-yakkyoku.com/,月-土:9:15-18:15,有,True,0268646455,0268646455,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,長野県 東御市 城の前くるみ薬局 長野県東御市田中705-1 0268646455 https://kurumi-yakkyoku.com/
3088,神奈川県,相模原市南区,まりも薬局,神奈川県相模原市南区新磯野3-30-1鈴木ビル1階,神奈川県相模原市南区新磯野３－３０－１鈴木ビル１階,相模原市南区新磯野3-30-1鈴木ビル1階,新磯野3-30-1鈴木ビル1階,0462050750,0462050750,,月-水･金:9:00-18:00､土:9:00-13:00,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 相模原市南区 まりも薬局 神奈川県相模原市南区新磯野3-30-1鈴木ビル1階 0462050750
3089,神奈川県,横浜市都筑区,ハックドラッグモザイクモール港北調剤薬局,神奈川県横浜市都筑区中川中央1-31-1,神奈川県横浜市都筑区中川中央１ー３１ー１,横浜市都筑区中川中央1-31-1,中川中央1-31-1,0459147090,0459147090,https://store.welcia.co.jp/welcia/spot/detail?code=2353C,月-日:10:00-20:00,,False,,,衝立,,False,6,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横浜市都筑区 ハックドラッグモザイクモール港北調剤薬局 神奈川県横浜市都筑区中川中央1-31-1 0459147090 https://store.welcia.co.jp/welcia/spot/detail?code=2353C
3090,神奈川県,相模原市中央区,淵野辺スマイル薬局,神奈川県相模原市中央区鹿沼台2-18-6,神奈川県相模原市中央区鹿沼台２－１８－６,相模原市中央区鹿沼台2-18-6,鹿沼台2-18-6,0428513056,0428513056,,月-土:9:00-18:00､日･祝･年末年始･お盆:休,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 相模原市中央区 淵野辺スマイル薬局 神奈川県相模原市中央区鹿沼台2-18-6 0428513056
3091,福島県,福島市,保原薬局渡利店,福島県福島市渡利字七社宮105-40,福島県福島市渡利字七社宮１０５－４０,福島市渡利字七社宮105-40,渡利字七社宮105-40,0245243666,0245243666,https://fukushima-ms.com,月-金:9:00‐18:00､土:9:00‐13:00,有,True,0245243666,0245243666,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 福島市 保原薬局渡利店 福島県福島市渡利字七社宮105-40 0245243666 https://fukushima-ms.com
3092,静岡県,富士市,ウエルシア薬局富士厚原店,静岡県富士市厚原82-1,静岡県富士市厚原８２－１,富士市厚原82-1,厚原82-1,0545730038,0545730038,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-14:0015:00-19:00､土:9:00-13:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 富士市 ウエルシア薬局富士厚原店 静岡県富士市厚原82-1 0545730038 https://www.welcia-yakkyoku.co.jp/
3093,兵庫県,神戸市兵庫区,さくら薬局兵庫駅南通店,兵庫県神戸市兵庫区駅南通2丁目2-30,兵庫県神戸市兵庫区駅南通２丁目２－３０,神戸市兵庫区駅南通2丁目2-30,駅南通2丁目2-30,0786850088,0786850088,,月-水､金:9:00-18:30､土:9:00-12:30,有,True,0786850088,0786850088,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 神戸市兵庫区 さくら薬局兵庫駅南通店 兵庫県神戸市兵庫区駅南通2丁目2-30 0786850088
3094,長野県,東御市,くるみ薬局,長野県東御市常田396-3,長野県東御市常田３９６ー３,東御市常田396-3,常田396-3,0268648666,0268648666,https://kurumi-yakkyoku.com/,月-金:8:30-18:30､土:8:30-17:30,有,True,0268648666,0268648666,衝立,要,True,2,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,長野県 東御市 くるみ薬局 長野県東御市常田396-3 0268648666 https://kurumi-yakkyoku.com/
3095,広島県,福山市,ププレひまわり薬局蔵王店,広島県福山市南蔵王町6-2-5,広島県福山市南蔵王町６ー２ー５,福山市南蔵王町6-2-5,南蔵王町6-2-5,0849596177,0849596177,,月-土9:00-19:00,有,True,0849596177,0849596177,衝立,要,True,1,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 福山市 ププレひまわり薬局蔵王店 広島県福山市南蔵王町6-2-5 0849596177
3096,広島県,福山市,ププレひまわり薬局新涯店,広島県福山市西新涯町2-10-11,広島県福山市西新涯町２ー１０ー１１,福山市西新涯町2-10-11,西新涯町2-10-11,0849828370,0849828370,https://himawarinews.com/,月火木金:9:00-18:30､水:9:00-13:30､15:00-18:00､土9:00-18:00,有,True,09091025473,09091025473,衝立,,False,2,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 福山市 ププレひまわり薬局新涯店 広島県福山市西新涯町2-10-11 0849828370 https://himawarinews.com/
3097,広島県,広島市安佐南区,まえだ薬局西原店,広島県広島市安佐南区西原1丁目25-39-4,広島県広島市安佐南区西原１丁目２５ー３９ー４,広島市安佐南区西原1丁目25-39-4,西原1丁目25-39-4,0828500731,0828500731,https://kusurishop.com,月･火･水･金:9:00-18:30木:9:00-17:00土:9:00-13:00,有,True,08019400269,08019400269,個室,要,True,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 広島市安佐南区 まえだ薬局西原店 広島県広島市安佐南区西原1丁目25-39-4 0828500731 https://kusurishop.com
3098,沖縄県,沖縄市,まごころ薬局山内店,沖縄県沖縄市山内3-14-30,沖縄県沖縄市山内３－１４－３０,沖縄市山内3-14-30,山内3-14-30,0989301550,0989301550,,月-金:9:00-18:00､土:9:00-13:00,有,True,08082827971,08082827971,他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,沖縄県 沖縄市 まごころ薬局山内店 沖縄県沖縄市山内3-14-30 0989301550
3099,長野県,上田市,コウズケヤ薬局中央,長野県上田市中央2-20-12,長野県上田市中央２－２０－１２,上田市中央2-20-12,中央2-20-12,0268271211,0268271211,https://www.kozukeya.co.jp/,月-金:9:00-19:00､土:9:00-18:00,有,True,0268271211,0268271211,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,長野県 上田市 コウズケヤ薬局中央 長野県上田市中央2-20-12 0268271211 https://www.kozukeya.co.jp/
3100,静岡県,静岡市清水区,ウエルシア薬局清水下清水店,静岡県静岡市清水区下清水町5-30,静岡県静岡市清水区下清水町５ー３０,静岡市清水区下清水町5-30,下清水町5-30,0543551161,0543551161,https://www.welcia-yakkyoku.co.jp/,月-金9:00-19:00土9:00-14:0015:00-18:00,有,True,0543551161,0543551161,衝立,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 静岡市清水区 ウエルシア薬局清水下清水店 静岡県静岡市清水区下清水町5-30 0543551161 https://www.welcia-yakkyoku.co.jp/
3101,広島県,広島市南区,有限会社ライカ薬局,広島県広島市南区段原1-3-12,広島県広島市南区段原１－３－１２,広島市南区段原1-3-12,段原1-3-12,0822612977,0822612977,,月-金:9:00-18:30､土:9:00-13:00,有,True,0822612977,0822612977,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 広島市南区 有限会社ライカ薬局 広島県広島市南区段原1-3-12 0822612977
3102,大阪府,大阪市西区,キララ薬局,大阪府大阪市西区九条2-23-12,大阪府大阪市西区九条２－２３－１２,大阪市西区九条2-23-12,九条2-23-12,0665865509,0665865509,,月､火､水､金:9:00-19:00､木:9:00-17:00､土:9:00-13:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大阪市西区 キララ薬局 大阪府大阪市西区九条2-23-12 0665865509
3103,神奈川県,横浜市港北区,ハックドラッグ綱島西薬局,神奈川県横浜市港北区綱島西2-5-30きくむらビル1Ｆ,神奈川県横浜市港北区綱島西２－５－３０きくむらビル１Ｆ,横浜市港北区綱島西2-5-30きくむらビル1Ｆ,綱島西2-5-30きくむらビル1Ｆ,0455401752,0455401752,https://store.welcia.co.jp/welcia/spot/detail?code=2032D,月-金:10:00-14:0015:00-19:00､土:10:00-14:00､15:00-18:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横浜市港北区 ハックドラッグ綱島西薬局 神奈川県横浜市港北区綱島西2-5-30きくむらビル1Ｆ 0455401752 https://store.welcia.co.jp/welcia/spot/detail?code=2032D
3104,広島県,呉市,康仁薬局神山店,広島県呉市神山3丁目3-5,広島県呉市神山３丁目３－５,呉市神山3丁目3-5,神山3丁目3-5,0823303655,0823303655,,月水金:9:00-13:00/14:00‐18:00､火木:9:00‐13:00/14:00‐15:00､土:9:00‐13:00,,False,,,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 呉市 康仁薬局神山店 広島県呉市神山3丁目3-5 0823303655
3105,大阪府,大阪市浪速区,森薬局,大阪府大阪市浪速区日本橋東2-10-13,大阪府大阪市浪速区日本橋東２ー１０ー１３,大阪市浪速区日本橋東2-10-13,日本橋東2-10-13,0666412829,0666412829,https://moripharmacy.jp/,月-金:9:00-19:00､土:9:00-13:00,有,True,09081451917,09081451917,衝立,要,True,,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大阪市浪速区 森薬局 大阪府大阪市浪速区日本橋東2-10-13 0666412829 https://moripharmacy.jp/
3106,広島県,呉市,オーツカ薬局Ⅱ,広島県呉市三条2-12-6,広島県呉市三条２－１２－６,呉市三条2-12-6,三条2-12-6,0823244193,0823244193,https://g.co/kgs/cEZ4uuR,月-水､金:9:00-19:00､木9:00-18:00､土9:00-13:30,有,True,0823244193,0823244193,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 呉市 オーツカ薬局Ⅱ 広島県呉市三条2-12-6 0823244193 https://g.co/kgs/cEZ4uuR
3107,栃木県,日光市,ウエルシア薬局日光今市大沢店,栃木県日光市木和田島1567-4,栃木県日光市木和田島１５６７ー４,日光市木和田島1567-4,木和田島1567-4,0288321177,0288321177,https://www.welcia-yakkyoku.co.jp/,月-金:9:30-18:00､土:9:00-14:0015:00-18:00,有,True,0288269158,0288269158,衝立,要,True,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,栃木県 日光市 ウエルシア薬局日光今市大沢店 栃木県日光市木和田島1567-4 0288321177 https://www.welcia-yakkyoku.co.jp/
3108,広島県,広島市中区,アスト薬局大手町店,広島県広島市中区大手町3-6-12,広島県広島市中区大手町３ー６ー１２,広島市中区大手町3-6-12,大手町3-6-12,0825440123,0825440123,,月-金:9:00-18:00､土:9:00-13:00,有,True,0825440123,0825440123,個室,要,True,2,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 広島市中区 アスト薬局大手町店 広島県広島市中区大手町3-6-12 0825440123
3109,東京都,港区,アイン薬局赤坂溜池店,東京都港区赤坂2丁目11-15ＭＹ赤坂ビル1Ｆ,東京都港区赤坂２丁目１１－１５ＭＹ赤坂ビル１Ｆ,港区赤坂2丁目11-15ＭＹ赤坂ビル1Ｆ,赤坂2丁目11-15ＭＹ赤坂ビル1Ｆ,0335687030,0335687030,https://store.ainj.co.jp/detail/1100448/,月-金:9:00-19:00､土:9:00-13:00,有,True,0335687030,0335687030,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 港区 アイン薬局赤坂溜池店 東京都港区赤坂2丁目11-15ＭＹ赤坂ビル1Ｆ 0335687030 https://store.ainj.co.jp/detail/1100448/
3110,東京都,板橋区,さくら薬局下赤塚店,東京都板橋区赤塚新町1-24-3,東京都板橋区赤塚新町１－２４－３,板橋区赤塚新町1-24-3,赤塚新町1-24-3,0339779605,0339779605,,月-金:9:00-19:00､土9:00-13:00,有,True,0339779605,0339779605,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 板橋区 さくら薬局下赤塚店 東京都板橋区赤塚新町1-24-3 0339779605
3111,石川県,加賀市,ウエルシア薬局加賀山代温泉店,石川県加賀市山代温泉山背台二丁目1番地1,石川県加賀市山代温泉山背台二丁目１番地１,加賀市山代温泉山背台二丁目1番地1,山代温泉山背台二丁目1番地1,0761772971,0761772971,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-14:0015:00-18:30､土:9:00-13:00,有,True,08048821676,08048821676,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,石川県 加賀市 ウエルシア薬局加賀山代温泉店 石川県加賀市山代温泉山背台二丁目1番地1 0761772971 https://www.welcia-yakkyoku.co.jp/
3112,広島県,世羅郡世羅町,ファーマシィ薬局せら,広島県世羅郡世羅町本郷822-13,広島県世羅郡世羅町本郷８２２－１３,世羅郡世羅町本郷822-13,本郷822-13,0847250221,0847250221,https://www.pharmacy-net.co.jp/store/1025.html,月火水金:08:00-18:00､木土:08:00-17:00,有,True,0847250221,0847250221,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 世羅郡世羅町 ファーマシィ薬局せら 広島県世羅郡世羅町本郷822-13 0847250221 https://www.pharmacy-net.co.jp/store/1025.html
3113,大阪府,東大阪市,アカカベ薬局足代店,大阪府東大阪市足代1-21-11,大阪府東大阪市足代１－２１－１１,東大阪市足代1-21-11,足代1-21-11,0667250930,0667250930,,月-金:9:00-19:30､土:9:00-17:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 東大阪市 アカカベ薬局足代店 大阪府東大阪市足代1-21-11 0667250930
3114,高知県,高知市,薬局清流けら店,高知県高知市介良354番地,高知県高知市介良３５４番地,高知市介良354番地,介良354番地,0888787116,0888787116,,月-金:9:30-18:00､土:9:00-14:00,,False,,,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,高知県 高知市 薬局清流けら店 高知県高知市介良354番地 0888787116
3115,栃木県,那須塩原市,ウエルシア薬局西那須野南郷屋店,栃木県那須塩原市新南163-12,栃木県那須塩原市新南１６３ー１２,那須塩原市新南163-12,新南163-12,0287395255,0287395255,https://www.welcia-yakkyoku.co.jp/,"月-土:9:30-18:00､日祝:10:00-13:00,14:00-18:00",有,True,08034853672,08034853672,衝立,,False,2,3,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,栃木県 那須塩原市 ウエルシア薬局西那須野南郷屋店 栃木県那須塩原市新南163-12 0287395255 https://www.welcia-yakkyoku.co.jp/
3116,大阪府,大阪市中央区,コクミン薬局なんばCITY本館1階店,大阪府大阪市中央区難波5-1-60,大阪府大阪市中央区難波５－１－６０,大阪市中央区難波5-1-60,難波5-1-60,0676591593,0676591593,,月-金:9:00-20:00土:9:00-18:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大阪市中央区 コクミン薬局なんばCITY本館1階店 大阪府大阪市中央区難波5-1-60 0676591593
3117,神奈川県,藤沢市,ハックドラッグ藤沢遠藤薬局,神奈川県藤沢市遠藤789-4,神奈川県藤沢市遠藤７８９ー４,藤沢市遠藤789-4,遠藤789-4,0466890048,0466890048,https://store.welcia.co.jp/welcia/spot/detail?code=2244D&category=01.02.06.18.20,月-金:9:00-19:00､土:9:00-17:00,有,True,0466890048,0466890048,衝立,要,True,3,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 藤沢市 ハックドラッグ藤沢遠藤薬局 神奈川県藤沢市遠藤789-4 0466890048 https://store.welcia.co.jp/welcia/spot/detail?code=2244D&category=01.02.06.18.20
3118,大阪府,大阪市中央区,薬局レディーファーマシー,大阪府大阪市中央区安土町3-2-15プログレスビル1階,大阪府大阪市中央区安土町３−２−１５プログレスビル１階,大阪市中央区安土町3-2-15プログレスビル1階,安土町3-2-15プログレスビル1階,0662827203,0662827203,https://ladypharmacy.com,月-金:9:30-20:00､土9:30-14:00,,False,,,個室；衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大阪市中央区 薬局レディーファーマシー 大阪府大阪市中央区安土町3-2-15プログレスビル1階 0662827203 https://ladypharmacy.com
3119,大阪府,大阪狭山市,キタバ薬局西山台店,大阪府大阪狭山市西山台3-5-16,大阪府大阪狭山市西山台３－５－１６,大阪狭山市西山台3-5-16,西山台3-5-16,0723650399,0723650399,https://www.inforlive.com/pharmacy/nishi.html,月-金:9:00-17:30､土:9:00-12:00,,False,,,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大阪狭山市 キタバ薬局西山台店 大阪府大阪狭山市西山台3-5-16 0723650399 https://www.inforlive.com/pharmacy/nishi.html
3120,静岡県,駿東郡長泉町,ウエルシア薬局長泉中土狩店,静岡県駿東郡長泉町中土狩348-1,静岡県駿東郡長泉町中土狩３４８ー１,駿東郡長泉町中土狩348-1,中土狩348-1,0559806881,0559806881,,月-金:9:00-13:0014:00-19:00､土:9:00-13:00,,False,,,衝立,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 駿東郡長泉町 ウエルシア薬局長泉中土狩店 静岡県駿東郡長泉町中土狩348-1 0559806881
3121,大阪府,泉佐野市,フレックス薬局安松店,大阪府泉佐野市南中安松1294-1,大阪府泉佐野市南中安松１２９４ー１,泉佐野市南中安松1294-1,南中安松1294-1,0724903350,0724903350,https://flex-ph.com,月･火･木･金:9:00-18:00､水:9:00-17:00､土:9:00-12:00,有,True,0724903350,0724903350,他者のいない時間対応,要,True,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 泉佐野市 フレックス薬局安松店 大阪府泉佐野市南中安松1294-1 0724903350 https://flex-ph.com
3122,東京都,世田谷区,さくら薬局三軒茶屋店,東京都世田谷区三軒茶屋2-55-8,東京都世田谷区三軒茶屋２－５５－８,世田谷区三軒茶屋2-55-8,三軒茶屋2-55-8,0354868430,0354868430,,月火水金:8:45-17:00､木:9:00-17:00､土9:00-13:00,,False,,,他者のいない時間対応,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 世田谷区 さくら薬局三軒茶屋店 東京都世田谷区三軒茶屋2-55-8 0354868430
3123,香川県,善通寺市,アイン薬局善通寺店,香川県善通寺市仙遊町1-7-10魚辰ハイツ1階,香川県善通寺市仙遊町１－７－１０魚辰ハイツ１階,善通寺市仙遊町1-7-10魚辰ハイツ1階,仙遊町1-7-10魚辰ハイツ1階,0877620303,0877620303,https://www.ainj.co.jp/,月-金:9:00-18:00､土:12:30-18:00,,False,,,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,香川県 善通寺市 アイン薬局善通寺店 香川県善通寺市仙遊町1-7-10魚辰ハイツ1階 0877620303 https://www.ainj.co.jp/
3124,滋賀県,栗東市,スマイル薬局,滋賀県栗東市小柿6丁目1-41-1-1,滋賀県栗東市小柿６丁目１－４１－１－１,栗東市小柿6丁目1-41-1-1,小柿6丁目1-41-1-1,0775526923,0775526923,https://ymg.ne.jp/,月-金:8:30-20:30､土:8:30-18:00､日祝:8:30-13:00,,False,,,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,滋賀県 栗東市 スマイル薬局 滋賀県栗東市小柿6丁目1-41-1-1 0775526923 https://ymg.ne.jp/
3125,神奈川県,横浜市中区,ハックドラッグ横浜関内薬局,神奈川県横浜市中区不老町2-9-1関内ワイズビル,神奈川県横浜市中区不老町２－９－１関内ワイズビル,横浜市中区不老町2-9-1関内ワイズビル,不老町2-9-1関内ワイズビル,0452226341,0452226341,https://store.welcia.co.jp/welcia/spot/detail?code=2335D&category=01.02.06.18.20,月-金:9:00ｰ13:30､14:30-19:00､土:9:00-14:00,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横浜市中区 ハックドラッグ横浜関内薬局 神奈川県横浜市中区不老町2-9-1関内ワイズビル 0452226341 https://store.welcia.co.jp/welcia/spot/detail?code=2335D&category=01.02.06.18.20
3126,大阪府,門真市,さくら薬局門真大和田駅前店,大阪府門真市野里町14-29,大阪府門真市野里町１４－２９,門真市野里町14-29,野里町14-29,0728815520,0728815520,https://www.kraft-net.co.jp/sakura/store/4209/,月-金:9:00-19:00土:9:00-13:00,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 門真市 さくら薬局門真大和田駅前店 大阪府門真市野里町14-29 0728815520 https://www.kraft-net.co.jp/sakura/store/4209/
3127,神奈川県,三浦郡葉山町,ハックドラッグ葉山薬局,神奈川県三浦郡葉山町一色2012,神奈川県三浦郡葉山町一色２０１２,三浦郡葉山町一色2012,一色2012,0468752506,0468752506,https://store.welcia.co.jp/welcia/spot/detail?code=2110D,月-金:9:00-14:0015:00-19:00､土:9:00-14:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 三浦郡葉山町 ハックドラッグ葉山薬局 神奈川県三浦郡葉山町一色2012 0468752506 https://store.welcia.co.jp/welcia/spot/detail?code=2110D
